date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:02:11	2604/2604	---MC-	200	added ('OK')	text/xml	date:Wed,%2024%20Aug%202016%2002:02:14%20GMT	http://corefindings.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fcorefindings.com%2F&format=xml	C:/Users/MSF/Documents/corefindings/corefindings.com/wp-json/oembed/1.0/embedc573	(from http://corefindings.com/)
22:02:11	57325/57325	---M-Z	200	added ('OK')	text/html	etag:%2291c10bd-3916-53ac78ef63ab0%22	http://corefindings.com/quick-start/	C:/Users/MSF/Documents/corefindings/corefindings.com/quick-start/index.html	(from http://corefindings.com/)
22:02:11	51895/51895	---M-Z	200	added ('OK')	text/html	etag:%2291c10d1-364b-53ac78ee988a8%22	http://corefindings.com/our-services/	C:/Users/MSF/Documents/corefindings/corefindings.com/our-services/index.html	(from http://corefindings.com/)
22:02:11	59552/59552	---M-Z	200	added ('OK')	text/html	etag:%2291c108a-3a22-53ac78f074dd2%22	http://corefindings.com/salesforce-administration/	C:/Users/MSF/Documents/corefindings/corefindings.com/salesforce-administration/index.html	(from http://corefindings.com/)
22:02:13	59963/59963	---M-Z	200	added ('OK')	text/html	etag:%2291c10c1-3a95-53ac78f14f5f2%22	http://corefindings.com/salesforce-consulting/	C:/Users/MSF/Documents/corefindings/corefindings.com/salesforce-consulting/index.html	(from http://corefindings.com/)
22:02:13	50018/50018	---M-Z	200	added ('OK')	text/html	etag:%2291c10c4-3482-53ac78f20a241%22	http://corefindings.com/contact-core-findings/	C:/Users/MSF/Documents/corefindings/corefindings.com/contact-core-findings/index.html	(from http://corefindings.com/)
22:02:13	4263/4263	---M--	200	added ('OK')	image/png	etag:%2291810bc-10a7-51f29ad8d22c4%22	http://corefindings.com/wp-content/uploads/2015/09/Temp-logo-transparent.png	C:/Users/MSF/Documents/corefindings/corefindings.com/wp-content/uploads/2015/09/Temp-logo-transparent.png	(from http://corefindings.com/)
22:02:14	750/750	---MC-	200	added ('OK')	text/css	date:Wed,%2024%20Aug%202016%2002:02:18%20GMT	http://fonts.googleapis.com/css?family=Raleway%3A500%2C700%2C900&subset=latin&ver=4.5.3	C:/Users/MSF/Documents/corefindings/fonts.googleapis.com/css2f8f.css	(from http://corefindings.com/)
22:02:14	267/267	---MC-	200	added ('OK')	text/css	date:Wed,%2024%20Aug%202016%2002:02:18%20GMT	http://fonts.googleapis.com/css?family=Abril+Fatface%3Aregular&ver=4.5.3	C:/Users/MSF/Documents/corefindings/fonts.googleapis.com/css6afc.css	(from http://corefindings.com/)
22:02:14	15247/15247	---M-Z	200	added ('OK')	application/x-javascript	etag:%2291c108d-16e2-53ac698d6f287%22	http://corefindings.com/wp-content/cache/minify/000000/M9RPzs8rSUwu0U3LL8rVNdfPzEvOKU1JLdbPAqLC0tSiSj2QjF5uZh4A.js	C:/Users/MSF/Documents/corefindings/corefindings.com/wp-content/cache/minify/000000/M9RPzs8rSUwu0U3LL8rVNdfPzEvOKU1JLdbPAqLC0tSiSj2QjF5uZh4A.js	(from http://corefindings.com/)
22:02:14	205127/205127	---M-Z	200	added ('OK')	application/x-javascript	etag:%2291c10bc-f78b-53ac698ec6e99%22	http://corefindings.com/wp-content/cache/minify/000000/M9RPzs8rSUwu0U3LL8rVNdfPzEvOKU1JLdbPKtYvTi7KLCgp1jHQ98hMz0jNSwkPgInhlcsqLE0tqtQDcvNzckLy8alJzi_NK0nJL88DAA.js	C:/Users/MSF/Documents/corefindings/corefindings.com/wp-content/cache/minify/000000/M9RPzs8rSUwu0U3LL8rVNdfPzEvOKU1JLdbPKtYvTi7KLCgp1jHQ98hMz0jNSwkPgInhlcsqLE0tqtQDcvNzckLy8alJzi_NK0nJL88DAA.js	(from http://corefindings.com/)
22:02:15	93135/93135	---M-Z	200	added ('OK')	application/x-javascript	etag:%2291c1083-5870-53ac4eb5dc4b3%22	http://corefindings.com/wp-content/cache/minify/000000/TcxBDkAwEEDRC9EhHMLSzlKqBhXtVGcm4vbCyvYn7zegHqwKOQrpQEETfCwq6Py6YZyHHthln4RhPxXzbZyyUChauFKJYcL5AzXsPL4LYsxgmfEV_K_jkinKAw.js	C:/Users/MSF/Documents/corefindings/corefindings.com/wp-content/cache/minify/000000/TcxBDkAwEEDRC9EhHMLSzlKqBhXtVGcm4vbCyvYn7zegHqwKOQrpQEETfCwq6Py6YZyHHthln4RhPxXzbZyyUChauFKJYcL5AzXsPL4LYsxgmfEV_K_jkinKAw.js	(from http://corefindings.com/)
22:02:16	191461/191461	---M-Z	200	added ('OK')	application/x-javascript	etag:%2291c1091-c6c9-53ac698e4257a%22	http://corefindings.com/wp-content/cache/minify/000000/fY_BDoIwEER_SClEP8KjN8-bdoQ1pa27Ldi_F70QEsLxTV5mMq25cT8guMfdqBVOWc1I6dTu5XBM8BgR8gZ27de7QGrz9PioZwc5siZaFMo4ckBa7UCyPyfQFIPyBEsSi8I3I4ejvjj7ZuNeTGFjo2ClmV2PvHKKypljWJPlf_nT1czpTF1Xf_QF.js	C:/Users/MSF/Documents/corefindings/corefindings.com/wp-content/cache/minify/000000/fY_BDoIwEER_SClEP8KjN8-bdoQ1pa27Ldi_F70QEsLxTV5mMq25cT8guMfdqBVOWc1I6dTu5XBM8BgR8gZ27de7QGrz9PioZwc5siZaFMo4ckBa7UCyPyfQFIPyBEsSi8I3I4ejvjj7ZuNeTGFjo2Cl	(from http://corefindings.com/)
